"id","date","price","bedrooms","bathrooms","living","lot","floors","waterfront","condition","above","basement","year","zipcode","living15","lot15","renovated"
65000085,"7/8/2014",430000,3,2,1550,6039,1,"no","great",830,720,1942,98126,1330,6042,"no"
87000283,"11/18/2014",359950,3,2.5,1980,7800,2,"no","neutral",1980,0,1999,98055,1700,20580,"no"
98030660,"3/11/2015",815000,4,2.5,3880,7208,2,"no","neutral",3880,0,2006,98075,3280,7221,"no"
109210280,"11/11/2014",220000,4,2.25,1950,7280,2,"no","good",1950,0,1979,98023,1910,7280,"no"
121029034,"6/24/2014",549000,2,1,2034,13392,1,"yes","great",1159,875,1947,98070,1156,15961,"no"
121039042,"3/13/2015",425000,3,2.75,3610,107386,1.5,"yes","neutral",3130,480,1918,98023,2630,42126,"no"
121039083,"2/6/2015",629000,3,1.75,1460,12367,2,"yes","good",1120,340,1970,98023,1970,18893,"no"
185000118,"2/23/2015",212000,4,2,1880,7500,1,"no","great",980,900,1946,98178,1670,14350,"no"
203100690,"4/25/2015",1080000,4,2.75,3160,42733,2,"no","neutral",3160,0,1995,98053,1890,24000,"no"
217500135,"4/21/2015",450000,4,2.25,2040,9565,1,"no","neutral",1400,640,1959,98133,1890,8580,"no"
221029019,"4/28/2015",4e+05,3,2.5,2090,32718,2,"yes","neutral",1550,540,1919,98070,1200,192268,"no"
222029026,"9/17/2014",340000,2,0.75,1060,48292,1,"yes","great",560,500,1947,98070,750,80201,"no"
225039175,"5/13/2014",525000,5,3,2450,4591,2,"no","neutral",2450,0,1994,98117,1060,5500,"no"
226059106,"1/2/2015",489500,3,1.75,2090,65558,1,"no","neutral",1330,760,1977,98072,2450,47178,"no"
258100040,"11/24/2014",335000,3,2,1490,8847,1,"no","good",1490,0,1967,98177,1640,7572,"no"
272000620,"12/2/2014",290000,2,1,900,2728,2,"no","neutral",900,0,1998,98144,900,2728,"no"
284000025,"4/20/2015",1410000,2,2,2180,18525,1,"yes","great",1580,600,1952,98146,2480,21503,"no"
284000095,"9/22/2014",1200000,2,2.25,2160,17861,2,"yes","good",2160,0,1956,98146,2660,18530,"no"
305500140,"5/12/2015",365000,3,2.5,2200,4052,2,"no","neutral",2200,0,2005,98058,2310,5082,"no"
319500080,"6/18/2014",764000,4,2.5,2790,7938,2,"no","neutral",2790,0,1997,98074,2780,7779,"no"
323059146,"4/17/2015",343000,3,1,1410,18600,1,"no","great",1410,0,1960,98059,1610,24941,"no"
333100295,"11/24/2014",3120000,3,3.5,4490,56609,2,"yes","neutral",4490,0,1993,98034,2710,51330,"no"
339600110,"9/23/2014",395000,3,2.5,1610,3755,2,"no","neutral",1610,0,1987,98052,1300,3823,"no"
372000040,"10/3/2014",304000,3,1.75,1720,6000,1,"no","neutral",1000,720,1954,98178,1690,6000,"no"
421049254,"10/2/2014",179000,2,1,990,8760,1,"no","neutral",990,0,1977,98003,1560,11880,"no"
425079001,"4/23/2015",499950,3,2.5,3230,129578,1,"no","good",2100,1130,1964,98014,2760,62059,"no"
439200035,"11/17/2014",740000,4,2.75,2560,6900,1,"no","neutral",1480,1080,1959,98115,2600,7200,"no"
510002065,"3/23/2015",7e+05,4,1,1980,4560,1.5,"no","neutral",1980,0,1920,98103,1810,3245,"no"
